10,1,3000
10,0,3000
10,0,3000
10,1,3000
10,1,3000
10,0,3000
10,1,3000
10,0,3000
10,1,3000
10,1,3000
30,0,3000
30,1,3000
30,0,3000
30,1,3000
30,0,3000
30,0,3000
30,0,3000
30,0,3000
30,0,3000
30,0,3000
100,0,3000
100,0,3000
100,0,3000
100,0,3000
100,0,3000
100,0,3000
100,0,3000
100,0,3000
100,0,3000
100,0,3000
300,0,3000
300,0,3000
300,0,3000
300,1,3000
300,0,3000
300,0,3000
300,0,3000
300,0,3000
300,0,3000
300,1,3000
1000,0,3000
1000,0,3000
1000,0,3000
1000,0,3000
1000,0,3000
1000,0,3000
1000,0,3000
1000,0,3000
1000,0,3000
1000,1,3000
3000,0,3000
3000,0,3000
3000,0,3000
3000,0,3000
3000,1,3000
3000,0,3000
3000,1,3000
3000,0,3000
3000,0,3000
3000,1,3000
10000,0,3000
10000,0,3000
10000,1,3000
10000,0,3000
10000,1,3000
10000,0,3000
10000,1,3000
10000,0,3000
10000,1,3000
10000,0,3000
30000,1,3000
30000,1,3000
30000,7,3000
30000,1,3000
30000,1,3000
30000,1,3000
30000,1,3000
30000,1,3000
30000,2,3000
30000,1,3000
60000,4,3000
60000,4,3000
60000,2,3000
60000,4,3000
60000,3,3000
60000,5,3000
60000,2,3000
60000,2,3000
60000,2,3000
60000,2,3000
80000,5,3000
80000,3,3000
80000,4,3000
80000,3,3000
80000,4,3000
80000,6,3000
80000,3,3000
80000,3,3000
80000,4,3000
80000,6,3000
100000,10,3000
100000,6,3000
100000,5,3000
100000,5,3000
100000,7,3000
100000,5,3000
100000,5,3000
100000,6,3000
100000,6,3000
100000,5,3000

